还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000100996800,201609010140720100,3037872851427200,LZMGX-08ZX2032,3,30000,5045833
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001358748,3,201609010016303048,,,100000,916,100916
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001358848,3,201609010016303048,,,1390000,12741,1402741
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001358948,3,201609010016303048,,,980000,8983,988983
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001359057,3,201609010076499157,,,380000,3483,383483
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001359185,3,201609010056726085,,,240000,2200,242200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001359290,3,201609010347010090,,,870000,7975,877975
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001359393,3,201609010061163193,,,390000,3575,393575
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001359493,3,201609010061163193,,,610000,5591,615591
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3037872851427200,,300000000100996800,12000000001359593,3,201609010061163193,,,40000,366,40366
本期回款总金额:5045830,差额=3
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101007500,201609010204642100,3438960690177600,LZMGX-08ZX2058,3,30000,49999
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001427900,3,201609010047098100,,,0,1200,1200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428027,3,201609010303072127,,,0,5600,5600
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428127,3,201609010303072127,,,0,3200,3200
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428227,3,201609010303072127,,,0,500,500
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428727,3,201609010303072127,,,0,1250,1250
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428340,3,201609010033604040,,,0,5000,5000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428440,3,201609010033604040,,,0,6000,6000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428540,3,201609010033604040,,,0,16050,16050
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001428640,3,201609010033604040,,,0,1000,1000
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001427742,3,201609010369324042,,,0,10150,10150
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3438960690177600,,300000000101007500,12000000001427842,3,201609010369324042,,,0,50,50
本期回款总金额:50000,差额=-1
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
300000000101114300,201609010291127100,3745976351088800,LZMGX-09ZX4016,2,16000,73333
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965320,2,201609010229800120,,,0,412,412
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965620,2,201609010295526020,,,0,14277,14277
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965720,2,201609010295526020,,,0,183,183
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965820,2,201609010295526020,,,0,8135,8135
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965469,2,201609010197948169,,,0,18195,18195
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965569,2,201609010197948169,,,0,8891,8891
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001964974,2,201609010101757174,,,0,504,504
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965074,2,201609010101757174,,,0,4308,4308
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965174,2,201609010101757174,,,0,3208,3208
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965279,2,201609010422240179,,,0,1145,1145
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001965999,2,201609010011133199,,,0,4904,4904
标id,标题,还款id,回款id,回款期号,投资人uid,姓名,手机号,本金,利息,本息
3745976351088800,,300000000101114300,12000000001966099,2,201609010011133199,,,0,9166,9166
本期回款总金额:73328,差额=5
还款id,借款人uid,标id,标题,还款期数,费用,还款本息
